Date,Price,Open,High,Low,Vol.,,Change %
12/2/2020,190.35,190.35,190.35,190.35,,,-0.0013
12/1/2020,190.6,190.6,190.6,190.6,,,-0.0086
11/30/2020,192.25,192.6,192.6,191,40,,-0.0047
11/27/2020,193.15,193.5,193.5,193.5,20,,0.0042
11/26/2020,192.35,192.35,192.35,192.35,,,0
11/25/2020,192.35,192.35,192.35,192.35,,,-0.0016
11/24/2020,192.65,192.5,192.5,192.5,20,,-0.0031
11/23/2020,193.25,193.25,193.25,193.25,,,0
11/20/2020,193.25,193.25,193.25,193.25,,,0.0044
11/19/2020,192.4,193.5,193.5,193.5,,,0.0156
11/18/2020,189.45,188,188,188,,,-0.0174
11/17/2020,192.8,193,193,193,,,0.0131
11/16/2020,190.3,190.3,190.3,190.3,,,0.0016
11/13/2020,190,190,190,190,,,0.0011
11/12/2020,189.8,189.8,189.8,189.8,,,-0.0005
11/11/2020,189.9,189.9,189.9,189.9,,,-0.0031
11/10/2020,190.5,190.5,190.5,190.5,,,-0.0018
11/9/2020,190.85,190.85,190.85,190.85,,,0.0045
11/6/2020,190,190,190,190,,,0
11/5/2020,190,190,190,190,20,,0.0005
11/4/2020,189.9,190,190,190,10,,0.0088
11/3/2020,188.25,188.25,188.25,188.25,,,0.0013
11/2/2020,188,188,188,188,,,-0.0003
10/30/2020,188.05,188.05,188.05,188.05,,,0.0056
10/29/2020,187,188,188,186.5,30,,-0.0035
10/28/2020,187.65,187.65,187.65,187.65,,,-0.0058
10/27/2020,188.75,189,189,188.75,50,,0.0013
10/26/2020,188.5,190,190,189,20,,-0.004
10/23/2020,189.25,187.6,190,187.6,20,,0.0088
10/22/2020,187.6,189,189,187.5,100,,-0.0021
10/21/2020,188,189,189,188.5,30,,0
10/20/2020,188,188,188,186.7,170,,0.0124
10/19/2020,185.7,186,186,184.75,50,,0.0016
10/16/2020,185.4,183.4,186,183.4,40,,0.0148
10/15/2020,182.7,181,182.75,181,70,,0.0066
10/14/2020,181.5,181.5,181.5,180,130,,-0.003
10/13/2020,182.05,182.5,182.5,181.8,40,,-0.0025
10/12/2020,182.5,184,184,181.5,70,,-0.0135
10/9/2020,185,183.5,185,183.5,70,,0.0115
10/8/2020,182.9,184,184.5,182.9,120,,-0.0054
10/7/2020,183.9,186,186.4,183.5,210,,-0.0086
10/6/2020,185.5,184.95,188,184,170,,0.0054
10/5/2020,184.5,184,185,182.5,210,,0.011
10/2/2020,182.5,182.5,183,181,290,,-0.0046
10/1/2020,183.35,184.5,185,182.75,340,,-0.0019
9/30/2020,183.7,181.25,184.5,181,180,,0.0194
9/29/2020,180.2,181.85,182,180,250,,-0.0088
9/28/2020,181.8,182,183,179,130,,-0.0052
9/25/2020,182.75,181,183,181,370,,0.0069
9/24/2020,181.5,179,182,179,320,,0.0083
9/23/2020,180,180.5,181.5,180,1080,,-0.011
9/22/2020,182,180.35,181,179,300,,0.0179
9/21/2020,178.8,178.65,180.5,178.5,240,,-0.0025
9/18/2020,179.25,178.75,179.8,177,270,,0.0116
9/17/2020,177.2,175,177.2,174.4,440,,0.0184
9/16/2020,174,174.5,174.5,173.5,270,,-0.0029
9/15/2020,174.5,176.5,176.75,174.5,260,,-0.0111
9/14/2020,176.45,177,177,175.5,250,,-0.0031
9/11/2020,177,177.75,178.85,176,150,,-0.0042
9/10/2020,177.75,173.75,178,173.75,310,,0.0192
9/9/2020,174.4,173.25,175,173,310,,0.0096
9/8/2020,172.75,171,173,171,280,,0.0114
9/7/2020,170.8,170,171,170,300,,0.0062
9/4/2020,169.75,170,170,169.5,450,,0.0015
9/3/2020,169.5,169.5,169.75,169,120,,0.0015
9/2/2020,169.25,169,169.25,167.75,80,,-0.0006
9/1/2020,169.35,169,169.5,167.75,120,,0.0021
8/28/2020,169,167.05,169.5,167.05,220,,0.0015
8/27/2020,168.75,167.75,169,167.5,330,,0.012
8/26/2020,166.75,167.9,167.9,166.5,90,,-0.0045
8/25/2020,167.5,167.55,167.7,167,130,,0.0081
8/24/2020,166.15,167,168,166,90,,-0.0006
8/21/2020,166.25,164.75,166.5,164.75,220,,0.0128
8/20/2020,164.15,164.5,165,164,100,,-0.0052
8/19/2020,165,164.5,165,164.5,120,,0.0033
8/18/2020,164.45,165.85,166.5,164,80,,-0.0063
8/17/2020,165.5,164,166,164,370,,0.011
8/14/2020,163.7,162.5,164,162.5,240,,0.0046
8/13/2020,162.95,163.5,163.5,162,120,,0.0077
8/12/2020,161.7,161.5,162.5,161.5,210,,-0.0065
8/11/2020,162.75,161,162.25,161,150,,0.0093
8/10/2020,161.25,163,163.25,161,430,,-0.0086
8/7/2020,162.65,163.05,163.6,162.75,60,,-0.0055
8/6/2020,163.55,163.5,164,162.6,300,,-0.0027
8/5/2020,164,164.15,166.15,163.5,70,,0.0052
8/4/2020,163.15,163.5,164.3,163.15,160,,-0.0058
